ticket_id,text,category,priority,sentiment,channel,customer_tier,product,country,created_at,clean_text,text_len
TKT026247,Need to change email Please help urgently.,account,P2,neutral,phone,enterprise,Product_A,UK,2024-07-21,need to change email please help urgently,41
TKT035067,Unexpected charge on my card Thank you.,billing,P0,negative,chat,pro,Product_B,Canada,2024-01-20,unexpected charge on my card thank you,38
TKT034590,Forgot password Very happy with support.,account,P2,negative,chat,pro,Product_A,UK,2024-01-09,forgot password very happy with support,39
TKT016668,I was charged twice for my subscription Not satisfied.,billing,P3,negative,phone,enterprise,Product_C,USA,2024-12-15,i was charged twice for my subscription not satisfied,53
TKT012196,Need more information about product Very happy with support.,general,P1,neutral,chat,free,Product_A,Germany,2024-03-26,need more information about product very happy with support,59
TKT002600,When will my refund arrive? ASAP please.,refund,P3,negative,email,pro,Product_A,India,2024-01-28,when will my refund arrive asap please,38
TKT009047,General inquiry I am disappointed.,general,P2,neutral,chat,enterprise,Product_A,UK,2024-12-04,general inquiry i am disappointed,33
TKT002206,Need to change email Very happy with support.,account,P2,neutral,phone,pro,Product_A,Canada,2024-11-04,need to change email very happy with support,44
TKT025607,Order tracking not updating,delivery,P2,negative,email,free,Product_B,Germany,2024-03-05,order tracking not updating,27
TKT011606,Account access issue Please help urgently.,account,P2,neutral,phone,free,Product_B,USA,2024-05-16,account access issue please help urgently,41
TKT003624,Unexpected charge on my card I am disappointed.,billing,P3,negative,chat,pro,Product_C,USA,2024-01-17,unexpected charge on my card i am disappointed,46
TKT043027,Billing error on last payment Kindly resolve this.,billing,P1,negative,email,enterprise,Product_C,India,2024-03-25,billing error on last payment kindly resolve this,49
TKT015190,Package missing Not satisfied.,delivery,P1,negative,phone,enterprise,Product_B,India,2024-07-13,package missing not satisfied,29
TKT025816,I want a refund for my order Kindly resolve this.,refund,P1,negative,chat,free,Product_C,India,2024-01-06,i want a refund for my order kindly resolve this,48
TKT026370,Need help understanding pricing,general,P2,neutral,chat,pro,Product_B,India,2024-10-03,need help understanding pricing,31
TKT001281,Website not loading properly Thank you.,technical,P0,negative,phone,pro,Product_C,India,2024-04-08,website not loading properly thank you,38
TKT029433,Requesting refund immediately I am disappointed.,refund,P2,negative,chat,free,Product_C,Germany,2024-03-23,requesting refund immediately i am disappointed,47
TKT036256,Do you offer discounts? Very happy with support.,general,P0,neutral,chat,pro,Product_C,India,2024-09-22,do you offer discounts very happy with support,46
TKT034217,Forgot password Kindly resolve this.,account,P2,positive,email,enterprise,Product_C,Canada,2024-02-07,forgot password kindly resolve this,35
TKT039950,Received wrong product I am disappointed.,delivery,P2,neutral,chat,enterprise,Product_C,Germany,2024-02-09,received wrong product i am disappointed,40
TKT006756,Billing error on last payment I am disappointed.,billing,P3,neutral,phone,enterprise,Product_B,India,2024-07-01,billing error on last payment i am disappointed,47
TKT026652,Unable to reset my password This is very frustrating.,technical,P1,neutral,email,pro,Product_B,USA,2024-11-14,unable to reset my password this is very frustrating,52
TKT003991,Do you offer discounts? I am disappointed.,general,P1,neutral,chat,enterprise,Product_C,India,2024-01-05,do you offer discounts i am disappointed,40
TKT040312,Requesting refund immediately I am disappointed.,refund,P2,neutral,email,free,Product_B,India,2024-08-13,requesting refund immediately i am disappointed,47
TKT024580,Do you offer discounts? Kindly resolve this.,general,P2,negative,email,pro,Product_C,UK,2024-05-14,do you offer discounts kindly resolve this,42
TKT004949,Website not loading properly Please help urgently.,technical,P0,positive,phone,free,Product_A,Canada,2024-07-12,website not loading properly please help urgently,49
TKT018783,Account access issue Kindly resolve this.,account,P2,positive,email,free,Product_A,India,2024-05-27,account access issue kindly resolve this,40
TKT039205,My invoice amount is incorrect This is very frustrating.,billing,P0,negative,phone,pro,Product_C,UK,2024-12-03,my invoice amount is incorrect this is very frustrating,55
TKT023784,Received wrong product Please help urgently.,delivery,P1,negative,email,pro,Product_A,Canada,2024-08-27,received wrong product please help urgently,43
TKT039508,Package missing ASAP please.,delivery,P3,neutral,chat,pro,Product_C,Canada,2024-09-01,package missing asap please,27
TKT019062,Need more information about product ASAP please.,general,P2,negative,email,free,Product_C,Canada,2024-07-04,need more information about product asap please,47
TKT048140,Why was extra tax added? This is very frustrating.,billing,P2,negative,email,enterprise,Product_C,Germany,2024-02-22,why was extra tax added this is very frustrating,48
TKT011314,General inquiry,general,P0,neutral,email,enterprise,Product_B,Germany,2024-08-09,general inquiry,15
TKT000766,My invoice amount is incorrect Very happy with support.,billing,P1,neutral,chat,enterprise,Product_C,India,2024-04-29,my invoice amount is incorrect very happy with support,54
TKT039319,Order tracking not updating Thank you.,delivery,P2,neutral,phone,pro,Product_C,UK,2024-07-13,order tracking not updating thank you,37
TKT015299,When will my refund arrive? Please help urgently.,refund,P0,negative,chat,pro,Product_C,India,2024-02-21,when will my refund arrive please help urgently,47
TKT010298,Unable to reset my password Very happy with support.,technical,P2,negative,email,free,Product_B,Canada,2024-02-15,unable to reset my password very happy with support,51
TKT025573,Account access issue,account,P2,negative,email,pro,Product_C,Canada,2024-09-10,account access issue,20
TKT018750,Refund not processed yet ASAP please.,refund,P2,neutral,phone,enterprise,Product_B,Germany,2024-05-19,refund not processed yet asap please,36
TKT019298,Website not loading properly ASAP please.,technical,P2,neutral,phone,pro,Product_C,India,2024-07-12,website not loading properly asap please,40
TKT011497,Refund not processed yet Very happy with support.,refund,P0,negative,phone,enterprise,Product_B,Canada,2024-05-23,refund not processed yet very happy with support,48
